poem_id,poem_text,caption,date_time
P0030,"பிழை ஒன்றும் இல்லா
சிலை ஒன்றை போல 
மலைகண்ட கோட்டையின் கீழ் 
கலைமகளாய் பிறந்தவளே...

தசை கொடுத்த தாயோடு 
இசைக்கேற்ப அசைந்தாடி 
திசை ஒன்றை கண்டறிந்து 
என்னோடு பசை போல சேர்ந்தவளே... 

வரம் ஒன்றை நான் கேற்க - நீ 
கரம் நீட்டி விரல் கோர்க்க....  
முழுதாய் முளைக்காத மீசையை 
முறுக்கிவிட்டு மகிழ்ந்தவளே.... 

முகம் பார்க்க முடியாதபோதும்,
தினம் எந்தன் குறைதீர்த்த
நித்திய பேரழகே.... 
நிதர்சன பூங்குயிலே.... 

இன்று மண்ணில் வீழ்ந்து 
மனம் உடைந்து கிடக்கின்றேன் 
துணையாக இல்லாவிட்டாலும் 
துயர் தீர்க்க  வா அன்பே...",#lovestory  #missingyou  #needyourlove #birthday  #php #peachhouseperson #arivalan,2019-08-19T23:56:17
P0031,"விரல் அனைத்தும் உன்கரம் கோர்க்க உயிற்கொண்டதே - இன்று
எந்தன் மயிர்கூட உன்கரம் காண தினம் எங்குதே...
இதழ் இரண்டும் உன் இதழ் கண்டு மகிழ்வுற்றதே - இன்று
எந்தன் நெற்றிப்பொட்டு உன் இதழ் காண  
வரம் கேட்குதே...
முகம்அன்று உன்விழி பார்த்து அழகானதே - இன்று 
உன் முகம் பார்க்க என் விழி தினமும் எதிர்நோக்குதே...

விழி இரண்டும் உனைதேடி கடலானதே...
அவை நொடிப்பொழுதும் மூடாமல் வழிந்தோடுதே... 

இன்று விரல் கோர்க்க யாரும் இல்லை
நீர் துடைக்க கரமும் இல்லை 
விடை இன்றி நான் தவிக்க 
எவர்க்கும் இங்கு கவலை இல்லை",#php #peachhouseperson #arivalan,2019-08-20T19:33:02
P0032,"மனதை வதைக்கும் மானிட வர்கம் 
அதனுள் சிக்கிய நான்
மீண்டு வர கரம்கேட்டேன் 

காற்று மட்டும் எட்டி பார்த்தது....",Lonely Ness #php #peachhouseperson #arivalan,2019-08-21T08:23:33
P0033,"கரம் கோர்த்து கதை பேசினேன் கனவானது... 
மடி கொடுத்து காத்து வந்தேன் கனவானது...
சினம் கொள்ளாமல் சிரித்து வந்தேன் கனவானது... 
நான் குறைசொல்லாமல் ஆதரித்தேன் கனவானது... 

பிழையில்லாமல் பாதையிட்டேன் கனவானது...
நான் நொடி நில்லாமல் காதலித்தேன் கனவானது...
ஏமாந்தும் நம்பி வந்தேன் கனவானது... 
என்றும் ஏமாற்றம் என்றறிய நிஜம்கொண்டது.",#kanavu #dream #lie #fooled #dumped_emotions #php #peachhouseperson #arivalan,2019-08-25T00:10:12
P0034,"துயர்கொண்டு துவண்டு போனேன் நிஜம்கொண்டது 
உனை விட்டு தூரம் சென்றேன் நிஜம்கொண்டது 
உரிமைக்கு ஏங்கி நின்றேன் நிஜம்கொண்டது 
ஏனைமறக்கும் உன் சிரிப்பொலி கேட்டேன் 
நிஜம்கொண்டது 

புகழாத பாடலை இயற்றினேன் நிஜம்கொண்டது 
அதில் பூமனம் பொல் உன்பெயர் சேர்த்தேன் நிஜம்கொண்டது 

உனக்கான காத்திருப்பு நிஜம்கொண்டது - ஆனால்
அதற்க்கான காலமுடிவோ கனவானது....",#php #peachhouseperson #arivalan,2019-08-25T00:49:04
P0035,"நித்திரையின் நிபந்தனை ஒன்றில் நெஞ்சுருகி நான் கிடக்க,
எத்திசையும் இல்லாக்கடல் கண்களில்
தோன்றுதடி... 

நேற்றுவரை இல்லா கரையானின் ஓசை
நொடிப்பொழுதும்  நில்லாமல் என் செவிகளில் பாயுதடி... 

ஊர்சுற்றி திரிந்த  என் கண்கள்
இன்று சுழலும் காற்றாடியை காணுதடி...
என்றென்றும் நீ இருந்த என் இதயம் இன்று ஆளில்லா வெற்றிடம் ஆகுதடி...",#loneliness #alone #dumped_emotions #missingpast #php #peachhouseperson #arivalan,2019-08-25T10:50:16
P0036,"Breaking my heart is fine... 
But not shattering my broken heart... 

says my Insomnia - The dilemma which ends when I sleep or when I die...",#broken #sleeplessnights #2amthoughts #shattered #insomnia #php #peachhouseperson #arivalan,2019-09-28T02:23:48
P0037,"இலைமுதல் சிலைவரை எழுந்தருள
வித்திட்டு இறந்தபின்னும்
அன்போடு எனைஏற்கும் மண்அவளே - நீ 
தாகம் கொண்டு மழைஅருந்தும் போது
மறைந்திருந்து முகர்ந்து சென்றேன் 
மதி மயக்கும் உன் சுவாசத்தை....",#மண்வாசம் #rainlove #rain #php #peachhouseperson #nature #arivalan,2019-09-28T20:43:16
P0038,"முதலின்றி முற்றுமின்றி முடிசூடா மன்னவனே...
முதற்பார்வை ஒன்றால் முடிவெழுதும் மத்துவனே... 
சிகை செய்த சடை ஒன்றில் பிறை சூடிய பௌதிகனே... 
இறையாவும் போற்றிடும் இணையில்லா ஈசுவரனே... 
அமிழ்தளிக்க வேண்டுமென நஞ்சுண்ட நீலகண்டனே - அதனை
தமிழ்ச்சுவையாய் எனக்களித்த திரயமே என் திகம்பரனே...

அன்பே சிவம் எனவிருந்த என்னெஞ்சில் 
நஞ்சாக பாய்ந்த சிலர் செயலால் - இது 
சிவமே அன்பென வாழும் இம்மானிடனின் பிறைவணக்கம்...",#அன்பேசிவம் #ஏமாற்றம் #avoided #forgetten #php #peachhouseperson #arivalan,2019-11-03T05:34:59
P0039,"Depressed souls have lot's of stories to tell... 
But no one to hear...",#depression #loneliness #sad #drained #php #peachhouseperson #arivalan,2019-11-06T13:41:38
